element,isotope,state,cooling time,isotope % dose,pathway,pathway % dose,Scenario,Spectrum,Material,Dose threshold
Co,60,,11.6 d,7.004135057,"Ni60 -(n,p)-> Co60",0.27848441,DT1,500MW_First_Wall,Beryllium,99
Nb,92,m,11.6 d,0.294047472,"Mo92 -(n,p)-> Nb92m",0.238837118,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,11.6 d,2.35553479,"Ti47 -(n,np)-> Sc46",0.212422127,DT1,500MW_First_Wall,Beryllium,99
Cr,51,,11.6 d,0.646147234,"Fe54 -(n,a)-> Cr51",0.189960825,DT1,500MW_First_Wall,Beryllium,99
Zr,89,,11.6 d,1.453200274,"Zr90 -(n,2n)-> Zr89m -(IT)-> Zr89",0.188625396,DT1,500MW_First_Wall,Beryllium,99
Zr,95,,11.6 d,0.707985544,"Zr94 -(n,g)-> Zr95",0.124655015,DT1,500MW_First_Wall,Beryllium,99
Mo,99,,11.6 d,0.230253052,"Mo98 -(n,g)-> Mo99",0.11977073,DT1,500MW_First_Wall,Beryllium,99
Mo,99,,11.6 d,0.230253052,"Mo100 -(n,2n)-> Mo99",0.11048002,DT1,500MW_First_Wall,Beryllium,99
Fe,59,,11.6 d,0.821566112,"Ni62 -(n,a)-> Fe59",0.097651348,DT1,500MW_First_Wall,Beryllium,99
Co,60,,11.6 d,7.004135057,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",0.08089776,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,11.6 d,0.456972487,"Mo95 -(n,p)-> Nb95",0.069962488,DT1,500MW_First_Wall,Beryllium,99
Cr,51,,11.6 d,0.646147234,"Cr50 -(n,g)-> Cr51",0.068569144,DT1,500MW_First_Wall,Beryllium,99
Co,60,,11.6 d,7.004135057,"Cu63 -(n,a)-> Co60",0.066119035,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,11.6 d,0.456972487,"Zr94 -(n,g)-> Zr95 -(b-)-> Nb95",0.064355435,DT1,500MW_First_Wall,Beryllium,99
Nb,92,m,11.6 d,0.294047472,"Nb93 -(n,2n)-> Nb92m",0.055157425,DT1,500MW_First_Wall,Beryllium,99
Co,57,,11.6 d,1.600224009,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.04122177,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,11.6 d,2.35553479,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.030292177,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,11.6 d,0.925681633,"Ni58 -(n,a)-> Fe55",0.021392503,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,11.6 d,0.925681633,"Fe54 -(n,g)-> Fe55",0.02125365,DT1,500MW_First_Wall,Beryllium,99
W,181,,11.6 d,0.442522515,"W180 -(n,g)-> W181",0.017121196,DT1,500MW_First_Wall,Beryllium,99
Zr,95,,11.6 d,0.707985544,"Mo98 -(n,a)-> Zr95",0.00881442,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,11.6 d,0.456972487,"Mo96 -(n,np)-> Nb95",0.008613931,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,11.6 d,0.456972487,"Mo95 -(n,p)-> Nb95m -(IT)-> Nb95",0.005904085,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,11.6 d,0.456972487,"Mo98 -(n,a)-> Zr95 -(b-)-> Nb95",0.004551446,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,11.6 d,0.456972487,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95m -(IT)-> Nb95",0.002979461,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,30 d,49.04006348,"Ta181 -(n,g)-> Ta182",30.89327839,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,30 d,49.04006348,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",18.01731932,DT1,500MW_First_Wall,Beryllium,99
Co,58,,30 d,25.101334,"Ni58 -(n,p)-> Co58",12.56622983,DT1,500MW_First_Wall,Beryllium,99
Co,58,,30 d,25.101334,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",9.774710474,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,30 d,8.052401831,"Fe54 -(n,p)-> Mn54",5.211031321,DT1,500MW_First_Wall,Beryllium,99
Co,60,,30 d,8.598591878,"Co59 -(n,g)-> Co60m -(IT)-> Co60",4.726044054,DT1,500MW_First_Wall,Beryllium,99
Co,60,,30 d,8.598591878,"Co59 -(n,g)-> Co60",2.858859828,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,30 d,8.052401831,"Mn55 -(n,2n)-> Mn54",2.833881776,DT1,500MW_First_Wall,Beryllium,99
Co,57,,30 d,1.888257019,"Ni58 -(n,np)-> Co57",1.838407033,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,30 d,2.501550414,"Ti46 -(n,p)-> Sc46",1.629134707,DT1,500MW_First_Wall,Beryllium,99
Co,58,,30 d,25.101334,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",1.591675589,DT1,500MW_First_Wall,Beryllium,99
Co,58,,30 d,25.101334,"Co59 -(n,2n)-> Co58",1.095171203,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,30 d,1.130613397,"Fe56 -(n,2n)-> Fe55",1.078446895,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,30 d,2.501550414,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.608176937,DT1,500MW_First_Wall,Beryllium,99
Zr,95,,30 d,0.717303586,"Zr96 -(n,2n)-> Zr95",0.580104929,DT1,500MW_First_Wall,Beryllium,99
Co,60,,30 d,8.598591878,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",0.486938258,DT1,500MW_First_Wall,Beryllium,99
W,181,,30 d,0.492429341,"W182 -(n,2n)-> W181",0.472303754,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,30 d,0.644894391,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95",0.417169284,DT1,500MW_First_Wall,Beryllium,99
Fe,59,,30 d,0.762949468,"Fe58 -(n,g)-> Fe59",0.34303734,DT1,500MW_First_Wall,Beryllium,99
Co,60,,30 d,8.598591878,"Ni60 -(n,p)-> Co60",0.341880013,DT1,500MW_First_Wall,Beryllium,99
Fe,59,,30 d,0.762949468,"Co59 -(n,p)-> Fe59",0.327427394,DT1,500MW_First_Wall,Beryllium,99
Cr,51,,30 d,0.504289467,"Cr52 -(n,2n)-> Cr51",0.302049219,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,30 d,2.501550414,"Ti47 -(n,np)-> Sc46",0.225589816,DT1,500MW_First_Wall,Beryllium,99
Cr,51,,30 d,0.504289467,"Fe54 -(n,a)-> Cr51",0.148256061,DT1,500MW_First_Wall,Beryllium,99
Zr,95,,30 d,0.717303586,"Zr94 -(n,g)-> Zr95",0.126295642,DT1,500MW_First_Wall,Beryllium,99
Co,60,,30 d,8.598591878,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",0.099313736,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,30 d,0.644894391,"Mo95 -(n,p)-> Nb95",0.098733331,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,30 d,0.644894391,"Zr94 -(n,g)-> Zr95 -(b-)-> Nb95",0.090820477,DT1,500MW_First_Wall,Beryllium,99
Fe,59,,30 d,0.762949468,"Ni62 -(n,a)-> Fe59",0.090684174,DT1,500MW_First_Wall,Beryllium,99
Co,60,,30 d,8.598591878,"Cu63 -(n,a)-> Co60",0.081170707,DT1,500MW_First_Wall,Beryllium,99
Cr,51,,30 d,0.504289467,"Cr50 -(n,g)-> Cr51",0.053515198,DT1,500MW_First_Wall,Beryllium,99
Co,57,,30 d,1.888257019,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.048641501,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,30 d,2.501550414,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.032169938,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,30 d,1.130613397,"Ni58 -(n,a)-> Fe55",0.026128476,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,30 d,1.130613397,"Fe54 -(n,g)-> Fe55",0.025958884,DT1,500MW_First_Wall,Beryllium,99
W,181,,30 d,0.492429341,"W180 -(n,g)-> W181",0.019052091,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,30 d,0.644894391,"Mo96 -(n,np)-> Nb95",0.012156259,DT1,500MW_First_Wall,Beryllium,99
Zr,95,,30 d,0.717303586,"Mo98 -(n,a)-> Zr95",0.00893043,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,30 d,0.644894391,"Mo95 -(n,p)-> Nb95m -(IT)-> Nb95",0.008332036,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,30 d,0.644894391,"Mo98 -(n,a)-> Zr95 -(b-)-> Nb95",0.006423148,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,30 d,0.644894391,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95m -(IT)-> Nb95",0.004204711,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,180 d,45.58025898,"Ta181 -(n,g)-> Ta182",28.71373995,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,180 d,45.58025898,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",16.74618715,DT1,500MW_First_Wall,Beryllium,99
Co,60,,180 d,18.75989391,"Co59 -(n,g)-> Co60m -(IT)-> Co60",10.31100049,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,180 d,13.27733735,"Fe54 -(n,p)-> Mn54",8.592296096,DT1,500MW_First_Wall,Beryllium,99
Co,58,,180 d,13.31324146,"Ni58 -(n,p)-> Co58",6.664874939,DT1,500MW_First_Wall,Beryllium,99
Co,60,,180 d,18.75989391,"Co59 -(n,g)-> Co60",6.237289527,DT1,500MW_First_Wall,Beryllium,99
Co,58,,180 d,13.31324146,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",5.184309356,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,180 d,13.27733735,"Mn55 -(n,2n)-> Mn54",4.672693335,DT1,500MW_First_Wall,Beryllium,99
Co,57,,180 d,2.963883717,"Ni58 -(n,np)-> Co57",2.885637187,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,180 d,2.344537937,"Fe56 -(n,2n)-> Fe55",2.236360957,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,180 d,1.663975662,"Ti46 -(n,p)-> Sc46",1.08366415,DT1,500MW_First_Wall,Beryllium,99
Co,60,,180 d,18.75989391,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",1.062372792,DT1,500MW_First_Wall,Beryllium,99
Co,58,,180 d,13.31324146,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.844192641,DT1,500MW_First_Wall,Beryllium,99
Co,60,,180 d,18.75989391,"Ni60 -(n,p)-> Co60",0.745893382,DT1,500MW_First_Wall,Beryllium,99
Co,58,,180 d,13.31324146,"Co59 -(n,2n)-> Co58",0.580856725,DT1,500MW_First_Wall,Beryllium,99
W,181,,180 d,0.479678818,"W182 -(n,2n)-> W181",0.460074345,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,180 d,0.630476052,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95",0.407842348,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,180 d,1.663975662,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.404545763,DT1,500MW_First_Wall,Beryllium,99
Co,60,,180 d,18.75989391,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",0.216676775,DT1,500MW_First_Wall,Beryllium,99
Co,60,,180 d,18.75989391,"Cu63 -(n,a)-> Co60",0.177093399,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,180 d,1.663975662,"Ti47 -(n,np)-> Sc46",0.150057325,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,180 d,0.630476052,"Mo95 -(n,p)-> Nb95",0.096525884,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,180 d,0.630476052,"Zr94 -(n,g)-> Zr95 -(b-)-> Nb95",0.088789942,DT1,500MW_First_Wall,Beryllium,99
Co,57,,180 d,2.963883717,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.076349645,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,180 d,2.344537937,"Ni58 -(n,a)-> Fe55",0.054182272,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,180 d,2.344537937,"Fe54 -(n,g)-> Fe55",0.053830591,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,180 d,1.663975662,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.021398727,DT1,500MW_First_Wall,Beryllium,99
W,181,,180 d,0.479678818,"W180 -(n,g)-> W181",0.018558773,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,180 d,0.630476052,"Mo96 -(n,np)-> Nb95",0.011884474,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,180 d,0.630476052,"Mo95 -(n,p)-> Nb95m -(IT)-> Nb95",0.008145751,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,180 d,0.630476052,"Mo98 -(n,a)-> Zr95 -(b-)-> Nb95",0.006279541,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,180 d,0.630476052,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95m -(IT)-> Nb95",0.004110704,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,230 d,42.32349516,"Ta181 -(n,g)-> Ta182",26.66210901,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,230 d,42.32349516,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",15.54965212,DT1,500MW_First_Wall,Beryllium,99
Co,60,,230 d,23.14707145,"Co59 -(n,g)-> Co60m -(IT)-> Co60",12.72232488,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,230 d,14.93279395,"Fe54 -(n,p)-> Mn54",9.663608275,DT1,500MW_First_Wall,Beryllium,99
Co,60,,230 d,23.14707145,"Co59 -(n,g)-> Co60",7.695938314,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,230 d,14.93279395,"Mn55 -(n,2n)-> Mn54",5.255298174,DT1,500MW_First_Wall,Beryllium,99
Co,58,,230 d,10.24697841,"Ni58 -(n,p)-> Co58",5.129842333,DT1,500MW_First_Wall,Beryllium,99
Co,58,,230 d,10.24697841,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",3.990275863,DT1,500MW_First_Wall,Beryllium,99
Co,57,,230 d,3.27804043,"Ni58 -(n,np)-> Co57",3.191500163,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,230 d,2.847134909,"Fe56 -(n,2n)-> Fe55",2.715768104,DT1,500MW_First_Wall,Beryllium,99
Co,60,,230 d,23.14707145,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",1.310818656,DT1,500MW_First_Wall,Beryllium,99
Co,60,,230 d,23.14707145,"Ni60 -(n,p)-> Co60",0.920327561,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,230 d,1.381830532,"Ti46 -(n,p)-> Sc46",0.899917134,DT1,500MW_First_Wall,Beryllium,99
Co,58,,230 d,10.24697841,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.649760901,DT1,500MW_First_Wall,Beryllium,99
Na,22,,230 d,0.532878974,"Na23 -(n,2n)-> Na22",0.532825686,DT1,500MW_First_Wall,Beryllium,99
Co,58,,230 d,10.24697841,"Co59 -(n,2n)-> Co58",0.447075668,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,230 d,1.381830532,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.335950639,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,230 d,0.492270077,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95",0.318439667,DT1,500MW_First_Wall,Beryllium,99
Co,60,,230 d,23.14707145,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",0.267348675,DT1,500MW_First_Wall,Beryllium,99
Co,60,,230 d,23.14707145,"Cu63 -(n,a)-> Co60",0.218508354,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,230 d,1.381830532,"Ti47 -(n,np)-> Sc46",0.124613477,DT1,500MW_First_Wall,Beryllium,99
Co,57,,230 d,3.27804043,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.084442321,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,230 d,0.492270077,"Mo95 -(n,p)-> Nb95",0.075366549,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,230 d,0.492270077,"Zr94 -(n,g)-> Zr95 -(b-)-> Nb95",0.069326395,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,230 d,2.847134909,"Ni58 -(n,a)-> Fe55",0.065797288,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,230 d,2.847134909,"Fe54 -(n,g)-> Fe55",0.065370218,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,230 d,1.381830532,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.017770341,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,230 d,0.492270077,"Mo96 -(n,np)-> Nb95",0.009279291,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,230 d,0.492270077,"Mo95 -(n,p)-> Nb95m -(IT)-> Nb95",0.006360129,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,230 d,0.492270077,"Mo98 -(n,a)-> Zr95 -(b-)-> Nb95",0.00490301,DT1,500MW_First_Wall,Beryllium,99
Nb,95,,230 d,0.492270077,"Zr96 -(n,2n)-> Zr95 -(b-)-> Nb95m -(IT)-> Nb95",0.003209601,DT1,500MW_First_Wall,Beryllium,99
Co,60,,1 y,36.26697553,"Co59 -(n,g)-> Co60m -(IT)-> Co60",19.93341776,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,1 y,30.7551079,"Ta181 -(n,g)-> Ta182",19.37448777,DT1,500MW_First_Wall,Beryllium,99
Co,60,,1 y,36.26697553,"Co59 -(n,g)-> Co60",12.05804403,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,1 y,18.19473074,"Fe54 -(n,p)-> Mn54",11.77453805,DT1,500MW_First_Wall,Beryllium,99
Ta,182,,1 y,30.7551079,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",11.29942664,DT1,500MW_First_Wall,Beryllium,99
Mn,54,,1 y,18.19473074,"Mn55 -(n,2n)-> Mn54",6.40327159,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,1 y,4.264737989,"Fe56 -(n,2n)-> Fe55",4.067962978,DT1,500MW_First_Wall,Beryllium,99
Co,57,,1 y,3.819334543,"Ni58 -(n,np)-> Co57",3.718504112,DT1,500MW_First_Wall,Beryllium,99
Co,58,,1 y,4.491151407,"Ni58 -(n,p)-> Co58",2.248360217,DT1,500MW_First_Wall,Beryllium,99
Co,60,,1 y,36.26697553,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",2.053798824,DT1,500MW_First_Wall,Beryllium,99
Co,58,,1 y,4.491151407,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",1.748899269,DT1,500MW_First_Wall,Beryllium,99
Co,60,,1 y,36.26697553,"Ni60 -(n,p)-> Co60",1.441974947,DT1,500MW_First_Wall,Beryllium,99
Na,22,,1 y,0.794302811,"Na23 -(n,2n)-> Na22",0.794223381,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,1 y,0.742710245,"Ti46 -(n,p)-> Sc46",0.483690047,DT1,500MW_First_Wall,Beryllium,99
Co,60,,1 y,36.26697553,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",0.418883567,DT1,500MW_First_Wall,Beryllium,99
Co,60,,1 y,36.26697553,"Cu63 -(n,a)-> Co60",0.342360249,DT1,500MW_First_Wall,Beryllium,99
Co,58,,1 y,4.491151407,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.284783911,DT1,500MW_First_Wall,Beryllium,99
Co,58,,1 y,4.491151407,"Co59 -(n,2n)-> Co58",0.195948936,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,1 y,0.742710245,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.180567715,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,1 y,4.264737989,"Ni58 -(n,a)-> Fe55",0.098558095,DT1,500MW_First_Wall,Beryllium,99
Co,57,,1 y,3.819334543,"Ni58 -(n,2n)-> Ni57 -(b+)-> Co57",0.098386058,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,1 y,4.264737989,"Fe54 -(n,g)-> Fe55",0.097918384,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,1 y,0.742710245,"Ti47 -(n,np)-> Sc46",0.06697761,DT1,500MW_First_Wall,Beryllium,99
Sc,46,,1 y,0.742710245,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.009551254,DT1,500MW_First_Wall,Beryllium,99
Co,60,,10 y,95.47308162,"Co59 -(n,g)-> Co60m -(IT)-> Co60",52.47486985,DT1,500MW_First_Wall,Beryllium,99
Co,60,,10 y,95.47308162,"Co59 -(n,g)-> Co60",31.74289018,DT1,500MW_First_Wall,Beryllium,99
Co,60,,10 y,95.47308162,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",5.406640612,DT1,500MW_First_Wall,Beryllium,99
Co,60,,10 y,95.47308162,"Ni60 -(n,p)-> Co60",3.796009725,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,10 y,3.784461056,"Fe56 -(n,2n)-> Fe55",3.609846023,DT1,500MW_First_Wall,Beryllium,99
Co,60,,10 y,95.47308162,"Cu63 -(n,a)-> Co60m -(IT)-> Co60",1.102714093,DT1,500MW_First_Wall,Beryllium,99
Co,60,,10 y,95.47308162,"Cu63 -(n,a)-> Co60",0.90126589,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,10 y,3.784461056,"Ni58 -(n,a)-> Fe55",0.087458895,DT1,500MW_First_Wall,Beryllium,99
Fe,55,,10 y,3.784461056,"Fe54 -(n,g)-> Fe55",0.086891226,DT1,500MW_First_Wall,Beryllium,99
Na,24,,24 h,88.42567055,"Mg24 -(n,p)-> Na24",47.58362184,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Na,24,,24 h,88.42567055,"Al27 -(n,a)-> Na24",30.84641092,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Na,24,,24 h,88.42567055,"Na23 -(n,g)-> Na24",9.828513282,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Mn,56,,24 h,3.040980377,"Fe56 -(n,p)-> Mn56",3.01577065,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Mn,54,,24 h,2.6953055,"Fe54 -(n,p)-> Mn54",2.658379815,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,48,,24 h,2.803740774,"Ti48 -(n,p)-> Sc48",2.361002068,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Ca,47,,24 h,0.899233953,"Ca48 -(n,2n)-> Ca47",0.89395545,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Ga,72,,24 h,0.892643964,"Ga71 -(n,g)-> Ga72",0.892626111,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,48,,24 h,2.803740774,"V51 -(n,a)-> Sc48",0.43772001,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Fe,59,,24 h,0.268452188,"Fe58 -(n,g)-> Fe59",0.264876405,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Mn,54,,24 h,2.6953055,"Mn55 -(n,2n)-> Mn54",0.035578033,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Mn,56,,24 h,3.040980377,"Mn55 -(n,g)-> Mn56",0.017637686,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Fe,59,,24 h,0.268452188,"Co59 -(n,p)-> Fe59",0.003135522,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Mn,54,,11.6 d,77.09086111,"Fe54 -(n,p)-> Mn54",76.03471631,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Fe,59,,11.6 d,6.66366738,"Fe58 -(n,g)-> Fe59",6.574907331,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Ca,47,,11.6 d,5.214815246,"Ca48 -(n,2n)-> Ca47",5.184204281,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Cr,51,,11.6 d,1.845269303,"Fe54 -(n,a)-> Cr51",1.842076988,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Na,22,,11.6 d,1.315894517,"Na23 -(n,2n)-> Na22",1.315815563,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,48,,11.6 d,1.449553757,"Ti48 -(n,p)-> Sc48",1.220654723,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,46,,11.6 d,1.790893497,"Ti46 -(n,p)-> Sc46",1.127206276,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Mn,54,,11.6 d,77.09086111,"Mn55 -(n,2n)-> Mn54",1.017599367,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Co,60,,11.6 d,1.363780307,"Co59 -(n,g)-> Co60m -(IT)-> Co60",0.849730596,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Fe,55,,11.6 d,0.633390442,"Fe56 -(n,2n)-> Fe55",0.618467764,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Tb,160,,11.6 d,0.536741832,"Tb159 -(n,g)-> Tb160",0.535679083,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Co,60,,11.6 d,1.363780307,"Co59 -(n,g)-> Co60",0.514008798,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,46,,11.6 d,1.790893497,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",0.420806245,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Co,58,,11.6 d,0.567437851,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.335429537,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Co,58,,11.6 d,0.567437851,"Co59 -(n,2n)-> Co58",0.230782649,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,48,,11.6 d,1.449553757,"V51 -(n,a)-> Sc48",0.226304333,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,47,,11.6 d,0.327658085,"Ca48 -(n,2n)-> Ca47 -(b-)-> Sc47",0.185251328,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,46,,11.6 d,1.790893497,"Ti47 -(n,np)-> Sc46",0.156076368,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Ta,182,,11.6 d,0.22364243,"Ta181 -(n,g)-> Ta182",0.141033389,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,47,,11.6 d,0.327658085,"Ti47 -(n,p)-> Sc47",0.10806819,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Ta,182,,11.6 d,0.22364243,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.082251213,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Fe,59,,11.6 d,6.66366738,"Co59 -(n,p)-> Fe59",0.077831635,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,46,,11.6 d,1.790893497,"Sc45 -(n,g)-> Sc46",0.047369133,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,47,,11.6 d,0.327658085,"Ti48 -(n,np)-> Sc47",0.032608533,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Sc,46,,11.6 d,1.790893497,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",0.022260806,DT1,500MW_First_Wall,Borated Heavy Concrete,99
Fe,55,,11.6 d,0.633390442,"Fe54 -(n,g)-> Fe55",0.014891009,DT1,500MW_First_Wall,Borated Heavy Concrete,99
